2025-05-16 18:58:38,943 | INFO     | ML retrain (LightGBM)...
2025-05-16 19:00:46,966 | INFO     | ML retrain (LightGBM)...
2025-05-16 19:03:40,054 | INFO     | Starting ML retrain ...
2025-05-16 19:03:43,049 | INFO     | Model saved - AUC 0.998 (using LightGBM)
2025-05-16 19:10:05,135 | INFO     | Starting ML retrain ...
2025-05-16 19:10:07,998 | INFO     | Model saved - AUC 0.998 (using LightGBM)
2025-05-16 19:13:07,114 | INFO     | Starting ML retrain ...
2025-05-16 19:13:11,572 | INFO     | Model saved - AUC 0.704 (using LightGBM)
2025-05-16 19:51:38,429 | INFO     | Starting ML retrain ...
2025-05-16 19:54:41,611 | INFO     | Starting ML retrain ...
2025-05-16 19:54:45,334 | INFO     | Model saved - AUC 0.704 (using LightGBM)
2025-05-16 19:58:14,742 | INFO     | Starting ML retrain ...
2025-05-16 19:58:18,526 | INFO     | Model saved - AUC 0.723 (using LightGBM)
2025-05-16 19:59:22,468 | INFO     | PAPER mode active
2025-05-16 19:59:22,476 | INFO     | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2025-05-16 19:59:22,476 | INFO     | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2025-05-16 19:59:22,477 | INFO     | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2025-05-16 19:59:22,477 | INFO     | Added job "daily_rebalance" to job store "default"
2025-05-16 19:59:22,477 | INFO     | Added job "monitor_breakouts" to job store "default"
2025-05-16 19:59:22,477 | INFO     | Added job "retrain_model" to job store "default"
2025-05-16 19:59:22,477 | INFO     | Scheduler started
2025-05-16 19:59:22,478 | INFO     | Scheduler started - bot running
2025-05-16 20:14:22,498 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-16 18:14:22 UTC)" (scheduled at 2025-05-16 18:14:22.476883+00:00)
2025-05-16 20:14:22,501 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-16 18:29:22 UTC)" executed successfully
